episode,score,score_avg100,time_steps,time_ep,time_total
165,0.10000000149011612,0.022600000351667406,19,0.05843377113342285,10.595189571380615
166,0.0,0.021600000336766245,14,0.04344773292541504,10.63920521736145
167,0.10000000149011612,0.021600000336766245,32,0.10091018676757812,10.740706205368042
168,0.0,0.021600000336766245,14,0.04808926582336426,10.789490938186646
169,0.0,0.021600000336766245,14,0.044731855392456055,10.83500599861145
170,0.0,0.021600000336766245,14,0.03958725929260254,10.875139713287354
171,0.0,0.021600000336766245,14,0.04097723960876465,10.91666054725647
172,0.0,0.020600000321865083,15,0.050099849700927734,10.967297554016113
173,0.0,0.020600000321865083,13,0.040158987045288086,11.008089065551758
174,0.10000000149011612,0.021600000336766245,31,0.08811497688293457,11.096782684326172
175,0.0,0.021600000336766245,15,0.04452157020568848,11.141994714736938
176,0.0,0.021600000336766245,14,0.03949332237243652,11.1820707321167
177,0.09000000171363354,0.02250000035390258,31,0.09126543998718262,11.273875951766968
178,0.0,0.02250000035390258,15,0.0502169132232666,11.324885368347168
179,0.10000000149011612,0.02350000036880374,31,0.09955739974975586,11.425341606140137
180,0.0,0.02350000036880374,14,0.048424720764160156,11.474358797073364
181,0.0,0.02350000036880374,14,0.04961133003234863,11.524841547012329
182,0.0,0.02350000036880374,14,0.04476428031921387,11.570401668548584
183,0.09000000171363354,0.024400000385940077,32,0.10531306266784668,11.676446676254272
184,0.0,0.024400000385940077,14,0.04730510711669922,11.724530458450317
185,0.0,0.024400000385940077,14,0.053648948669433594,11.778893947601318
186,0.0,0.024400000385940077,14,0.05448102951049805,11.834129810333252
187,0.0,0.024400000385940077,15,0.05326724052429199,11.888144493103027
188,0.0,0.023400000371038912,14,0.046029090881347656,11.934770345687866
189,0.0,0.023400000371038912,14,0.04620933532714844,11.981749296188354
190,0.0,0.02240000035613775,14,0.04708743095397949,12.029603242874146
191,0.0,0.02240000035613775,14,0.0465703010559082,12.076967000961304
192,0.0,0.02240000035613775,15,0.0495150089263916,12.127407312393188
193,0.0,0.02240000035613775,13,0.043810129165649414,12.172099351882935
194,0.0,0.02140000034123659,14,0.04599404335021973,12.21903371810913
195,0.0,0.02140000034123659,14,0.04848599433898926,12.26809811592102
196,0.0,0.02140000034123659,14,0.044335126876831055,12.313145875930786
197,0.0,0.020500000324100254,14,0.03917551040649414,12.35289192199707
198,0.0,0.020500000324100254,14,0.045981645584106445,12.399446964263916
199,0.0,0.019500000309199093,15,0.04957413673400879,12.449830770492554
200,0.09000000171363354,0.02040000032633543,30,0.08987998962402344,12.540310859680176
201,0.0,0.02040000032633543,14,0.04212069511413574,12.583084106445312
202,0.0,0.019400000311434268,30,0.09525179862976074,12.680166006088257
203,0.09000000171363354,0.020300000328570603,31,0.1083383560180664,12.789432525634766
204,0.0,0.020300000328570603,14,0.048880577087402344,12.839186668395996
205,0.0,0.019300000313669442,15,0.05594801902770996,12.895881652832031
206,0.0,0.01830000029876828,15,0.04909873008728027,12.945735692977905
207,0.0,0.01830000029876828,14,0.04857921600341797,12.99503231048584
208,0.0,0.01830000029876828,16,0.05867767333984375,13.054642677307129
209,0.10000000149011612,0.019300000313669442,23,0.07605862617492676,13.13163161277771
210,0.0,0.019300000313669442,14,0.04942440986633301,13.181833982467651
211,0.0,0.01830000029876828,15,0.05500912666320801,13.237497806549072
212,0.0,0.01830000029876828,14,0.04718613624572754,13.28556776046753
213,0.0,0.01830000029876828,15,0.05680727958679199,13.342997312545776
214,0.0,0.01830000029876828,15,0.0538327693939209,13.397379398345947
215,0.0,0.01730000028386712,13,0.04704856872558594,13.445258617401123
216,0.0,0.01730000028386712,15,0.052565574645996094,13.498556137084961
217,0.0,0.01730000028386712,14,0.048842430114746094,13.548392534255981
218,0.0,0.01730000028386712,14,0.05364251136779785,13.603033781051636
219,0.0,0.016400000266730785,14,0.05218982696533203,13.656115055084229
220,0.0,0.016400000266730785,14,0.04869842529296875,13.705405712127686
221,0.19000000320374966,0.01730000028386712,69,0.20237326622009277,13.908373832702637
222,0.0,0.01630000026896596,14,0.040627241134643555,13.94961166381836
223,0.0,0.015300000254064798,14,0.04583621025085449,13.996020078659058
224,0.09000000171363354,0.016200000271201134,30,0.09712958335876465,14.09387493133545
225,0.10000000149011612,0.017200000286102295,30,0.08654952049255371,14.181017875671387
226,0.0,0.017200000286102295,14,0.04354429244995117,14.225175619125366
227,0.0,0.017200000286102295,14,0.042144775390625,14.267914056777954
228,0.0,0.017200000286102295,14,0.042986392974853516,14.311502695083618
229,0.10000000149011612,0.018200000301003456,24,0.07381653785705566,14.38589358329773
230,0.10000000149011612,0.019200000315904617,30,0.0885016918182373,14.475018978118896
231,0.0,0.019200000315904617,15,0.04850482940673828,14.524104118347168
232,0.0,0.019200000315904617,14,0.04337477684020996,14.568183898925781
233,0.0,0.019200000315904617,15,0.05416464805603027,14.622947692871094
234,0.09000000171363354,0.020100000333040952,34,0.11282229423522949,14.736430168151855
235,0.0,0.020100000333040952,15,0.046845436096191406,14.784205436706543
236,0.0,0.020100000333040952,14,0.04329681396484375,14.828075647354126
237,0.09000000171363354,0.021000000350177288,30,0.10539388656616211,14.934263706207275
238,0.0,0.020000000335276127,14,0.054662466049194336,14.989875078201294
239,0.0,0.020000000335276127,14,0.05008506774902344,15.040891885757446
240,0.0,0.01910000031813979,14,0.053316593170166016,15.09499454498291
241,0.0,0.01910000031813979,15,0.04929089546203613,15.144965648651123
